2025-03-30 22:43:42,867 - INFO - System: TrafficManager initialized. Ready to manage lane traffic
2025-03-30 22:43:42,868 - INFO - System: TrafficManager initialized. Ready to manage lane traffic
2025-03-30 22:43:42,868 - INFO - System: FleetManager initialized. With TrafficManager
2025-03-30 22:43:42,932 - INFO - System: System initialized. Loading graph from C:/COLLEGE/Placements/Final/GoatPSGHackathon_22PC16/fleet_management_system/data/nav_graph_1.json
2025-03-30 22:43:43,927 - INFO - Robot 1: Robot spawned. at position (3.6105862, -1.9856441)
2025-03-30 22:43:43,927 - INFO - System: Robot spawned. ID: 1 at (3.6105862, -1.9856441)
2025-03-30 22:43:43,929 - INFO - System: Robot spawned. ID: 1 at (3.6105862, -1.9856441)
2025-03-30 22:43:44,254 - INFO - System: Robot selected. ID: 1
2025-03-30 22:43:45,428 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:45,488 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:45,553 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:45,609 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:45,672 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:45,735 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:45,796 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:45,861 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:45,923 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:45,986 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,048 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,111 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,172 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,234 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,295 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,357 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,424 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,485 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,547 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,611 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,674 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,737 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,800 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,861 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,921 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:46,983 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:47,045 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:47,107 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:47,168 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:47,231 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
2025-03-30 22:43:47,296 - INFO - System: Lane reserved. Robot 1 reserved lane (0, 4)
